Species Status MinT MaxT
Tyrrhenolutra_helbingi extinct 5.333 8.7
Paludolutra_campanii extinct 5.333 8.7
Paludolutra_lluecai extinct 5.333 8.7
Lutra_simplicidens extinct 0.126 0.781
Lutra_simplicidens extinct 0.126 0.781
Lutra_simplicidens extinct 0.781 2.588
Lutra_affinis extinct 2.588 5.333
Lutrogale_cretensis extinct 0.0117 0.126
Paralutra_jaegeri extinct 15.97 16.9
Mustela_sibirica extant 0.0117 0.126
Mustela_erminea extant 0.0117 0.126
Mustela_sibirica extant 0.0117 0.126
Martes_martes extant 0 0.0117
Mustela_putorius extant 0 0.0117
Mustela_nivalis extant 0 0.0117
Mustela_erminea extant 0 0.0117
Cyrnaonyx_antiqua extinct 0.126 0.781
Trocharion_albanense extinct 11.1 15.97
Arctonyx_collaris extant 0.126 0.781
Meles_meles extant 0 0.0117
Aonyx_cinerea extant 0 0.0117
Gulo_gulo extant 0.0117 0.126
Plesiogale_angustifrons extinct 15.97 20.44
Trochictis_carbonaria extinct 15.97 20.44
Enhydra_reevei extinct 0.781 3.6
Paralutra_jaegeri extinct 9.7 11.1
Enhydra_lutris extant 0 0.0117
Lutra_lutra extant 0 0.0117
Martes_zibellina extant 0 0.0117
Trocharion_albanense extinct 13.82 15.97
Martes_foina extant 0.0117 0.126
Meles_meles extant 0.0117 0.126
Lutra_affinis extinct 5.333 8.7
Meles_thorali extinct 0.781 2.588
Martes_foina extant 0 0.126
Martes_martes extant 0 0.126
Enhydrictis_ardea extinct 0.126 0.781
Paludolutra_lluecai extinct 5.333 8.7
Paludolutra_lluecai extinct 3.2 5.333
Eomellivora_wimani extinct 8.7 11.608
Martes_martes extant 0 0.0117
Lutra_lutra extant 0 0.0117
Mustela_nivalis extant 0 0.0117
Meles_meles extant 0 0.0117
Lutra_lutra extant 0 0.0117
Martes_martes extant 0.0117 0.781
Meles_meles extant 0.0117 2.588
Martes_foina extant 0.0117 2.588
Martes_martes extant 0.0117 2.588
Vormela_peregusna extant 0.0117 2.588
Mustela_nivalis extant 0.0117 2.588
Lutraeximia_umbra extinct 0.781 2.588
Aonyx_cinerea extant 0.0117 0.126
Aonyx_cinerea extant 0.0117 0.126
Iberictis_azanzae extinct 11.608 15.97
Iberictis_buloti extinct 13.82 15.97
Mustela_eversmanii extinct 0.0117 0.126
Meles_meles extant 0.0117 0.126
Lartetictis_dubia extinct 11.62 15.97
Lartetictis_dubia extinct 12.75 13.65
Trochictis_carbonaria extinct 13.82 15.97
Lutra_simplicidens extinct 0.126 0.781
Martes_foina extant 0.0117 0.126
Meles_meles extant 0.0117 0.126
Meles_meles extant 0.0117 2.588
Eomellivora_piveteaui extinct 7.246 11.62
Trocharion_albanense extinct 7.246 11.62
Mustela_putorius extant 0.0117 0.126
Sardolutra_ichnusae extinct 0.0117 2.588
