"Order","Status","Origination","Extinction","Duration","Volatility"
"Isorophida","extinct",0.125,0.147,254,0.019
"Echinocystitoida","extinct",0.097,0.116,172,0.019
"Echinoida*","extant",0.093,0,138,0.009
"Holectypoida*","extant",0.075,0.075,202,0.014
"Clypeasteroida*","extant",0.111,0,60.2,0.021
"Cassiduloida*","extant",0.075,0.051,195,0.015
"Spatangoida*","extant",0.066,0.011,210,0.008
"Dendrochirotida *","extant",0.02,0.005,465,0.003
"Pustulosida","extinct",0.103,0.131,236,0.012
"Hemizonida","extinct",0.063,0.089,145,0.014
"Uractinida","extinct",0.107,0.139,186,0.019
"Valvatida*","extant",0.037,0.005,213,0.008
"Stenurida","extinct",0.144,0.169,174,0.019
"Ophiurida*","extant",0.024,0,438,0.003
"Graptoloidea","extinct",0.306,0.324,113.5,0.034
"Rhabdopleurida *","extant",0.025,0.025,534,0.003
"Prioniodontida","extinct",0.424,0.442,145,0.029
"Prioniodinida","extinct",0.062,0.082,281,0.011
"Ozarkodinida","extinct",0.194,0.207,219.5,0.024
