Species Status MinT MaxT
Amphimachairodus_giganteus extinct 5.333 8.7
Pristifelis_attica extinct 5.333 8.7
Felis_silvestris extant 0 0.126
Lynx_lynx extant 0 0.126
Felis_silvestris extant 0.0117 2.588
Lynx_lynx extant 0.0117 0.126
Felis_silvestris extant 0.0117 0.126
Panthera_atrox extinct 0.0117 2.588
Acinonyx_pardinensis extinct 0.781 2.588
Lynx_issiodorensis extinct 0.781 2.588
Felis_silvestris extant 0 0.126
Lynx_lynx extant 0 0.126
Acinonyx_pardinensis extinct 0.781 2.588
Felis_silvestris extant 0.781 2.588
Homotherium_latidens extinct 0.126 0.781
Lynx_issiodorensis extinct 0.126 0.781
Acinonyx_pardinensis extinct 0.126 0.781
Megantereon_cultridens extinct 0.126 0.781
Homotherium_latidens extinct 0.126 0.781
Prionailurus_planiceps extant 0.0117 0.126
Homotherium_latidens extinct 0.0117 0.126
Panthera_spelaea extinct 0.0117 2.588
Panthera_palaeosinensis extinct 0.781 2.588
Megantereon_whitei extinct 0.126 5.333
Panthera_palaeosinensis extinct 0.781 2.588
Metailurus_parvulus extinct 8.7 11.608
Lynx_lynx extant 0 0.0117
Lynx_pardinus extant 0.126 0.781
Lynx_lynx extant 0.0117 0.781
Felis_ocreata extant 0.0117 0.781
Amphimachairodus_giganteus extinct 5.333 8.7
Yoshi_garevskii extinct 5.333 8.7
Promegantereon_ogygia extinct 8.7 9.7
Lynx_pardinus extant 0.0117 0.126
Felis_silvestris extant 0.0117 0.126
Pristifelis_attica extinct 5.333 8.7
Metailurus_parvulus extinct 5.333 8.7
Lynx_issiodorensis extinct 3.6 5.333
Pristifelis_attica extinct 5.333 7.246
Pristifelis_attica extinct 5.333 7.246
Panthera_gombaszoegensis extinct 0.781 2.588
Metailurus_parvulus extinct 5.333 8.7
Felis_silvestris extant 0.0117 0.126
Pseudaelurus_quadridentatus extinct 7.246 11.62
Amphimachairodus_giganteus extinct 7.246 7.75
Panthera_spelaea extinct 0.0117 0.126
Panthera_spelaea extinct 0.0117 0.126
Panthera_spelaea extinct 0.0117 0.126
Panthera_spelaea extinct 0.0117 0.126
Panthera_spelaea extinct 0.0117 0.126
Lynx_pardinus extant 0.0117 0.126
Lynx_pardinus extant 0.126 0.781
Felis_silvestris extant 0.0117 0.126
Lynx_pardinus extant 0.0117 0.126
Megantereon_falconeri extinct 0.52066666666667 2.581
Lynx_lynx extant 0.58243333333333 1.29585
Panthera_tigris extant 0.58243333333333 1.29585
Styriofelis_lorteti extinct 11.2 12.85
Styriofelis_turnauensis extinct 11.2 12.85
Styriofelis_lorteti extinct 11.2 12.85
Styriofelis_lorteti extinct 9.9 10.55
Styriofelis_turnauensis extinct 9.9 10.55
Pseudaelurus_quadridentatus extinct 11.2 12.85
Styriofelis_turnauensis extinct 11.2 12.85
Styriofelis_turnauensis extinct 14.2 16.4
Pseudaelurus_quadridentatus extinct 14.2 16.4
Styriofelis_turnauensis extinct 14.2 16.4
Proailurus_lemanensis extinct 19.5 21.7
Proailurus_lemanensis extinct 19.5 21.7
Styriofelis_turnauensis extinct 17.2 19.5
Lynx_issiodorensis extinct 3.025 3.55
Homotherium_latidens extinct 2.5 3.55
Pristifelis_attica extinct 8.9 9.9
Styriofelis_vallesiensis extinct 8.9 9.9
Machairodus_aphanistus extinct 7.6 8.9
Paramachaerodus_orientalis extinct 7.6 8.9
Promegantereon_ogygia extinct 8.9 9.9
Amphimachairodus_giganteus extinct 7.212 7.454
Metailurus_parvulus extinct 7.212 7.454
Paramachaerodus_orientalis extinct 7.212 7.454
Amphimachairodus_giganteus extinct 7.1 7.6
Metailurus_parvulus extinct 7.1 7.6
Paramachaerodus_orientalis extinct 7.1 7.6
Paramachaerodus_orientalis extinct 7.1 9.9
Amphimachairodus_giganteus extinct 7.1 7.6
Paramachaerodus_orientalis extinct 7.1 7.6
Metailurus_parvulus extinct 7.6 8.9
Machairodus_aphanistus extinct 8.9 9.9
Styriofelis_lorteti extinct 14.2 16.4
Styriofelis_turnauensis extinct 11.2 14.2
Styriofelis_lorteti extinct 11.2 12.85
Styriofelis_turnauensis extinct 11.2 12.85
Styriofelis_lorteti extinct 14.2 16.4
Styriofelis_lorteti extinct 14.2 16.4
Styriofelis_turnauensis extinct 11.2 12.85
Styriofelis_lorteti extinct 16.4 17.2
Styriofelis_turnauensis extinct 16.4 17.2
Styriofelis_lorteti extinct 16.4 17.2
Styriofelis_turnauensis extinct 16.4 17.2
Styriofelis_turnauensis extinct 16.4 17.2
Styriofelis_turnauensis extinct 14.2 16.4
Pseudaelurus_quadridentatus extinct 12.85 14.2
Styriofelis_lorteti extinct 12.85 14.2
Styriofelis_turnauensis extinct 16.4 17.2
Styriofelis_turnauensis extinct 19.5 21.7
Pseudaelurus_quadridentatus extinct 12.85 14.2
Styriofelis_lorteti extinct 12.85 14.2
Styriofelis_lorteti extinct 16.4 17.2
Styriofelis_lorteti extinct 14.2 16.4
Styriofelis_turnauensis extinct 14.2 16.4
Styriofelis_lorteti extinct 14.2 16.4
Styriofelis_turnauensis extinct 14.2 16.4
Styriofelis_turnauensis extinct 14.2 16.4
Styriofelis_lorteti extinct 11.2 14.2
Styriofelis_turnauensis extinct 11.2 14.2
Metailurus_parvulus extinct 6.9365 7.14
Styriofelis_turnauensis extinct 17.2 19.5
Pseudaelurus_quadridentatus extinct 12.85 14.2
Styriofelis_lorteti extinct 14.2 16.4
Machairodus_aphanistus extinct 9.9 11.2
Machairodus_aphanistus extinct 9.9 11.2
Machairodus_aphanistus extinct 9.9 11.2
Pseudaelurus_quadridentatus extinct 9.9 11.2
Styriofelis_lorteti extinct 14.2 16.4
Pseudaelurus_quadridentatus extinct 12.85 14.2
Machairodus_aphanistus extinct 9.9 11.2
Styriofelis_lorteti extinct 16.4 17.2
Styriofelis_lorteti extinct 11.2 12.85
Pseudaelurus_quadridentatus extinct 16.4 17.2
Styriofelis_turnauensis extinct 16.4 17.2
Proailurus_lemanensis extinct 19.5 21.7
Styriofelis_turnauensis extinct 17.2 19.5
Machairodus_aphanistus extinct 9.9 11.2
Machairodus_aphanistus extinct 8.9 9.9
Pristifelis_attica extinct 8.9 9.9
Promegantereon_ogygia extinct 8.9 9.9
Amphimachairodus_giganteus extinct 6.179 6.252
Paramachaerodus_maximiliani extinct 6.179 6.252
Paramachaerodus_orientalis extinct 6.179 6.252
Styriofelis_turnauensis extinct 14.2 17.2
Styriofelis_lorteti extinct 14.2 16.4
Styriofelis_turnauensis extinct 14.2 19.5
Styriofelis_turnauensis extinct 14.2 19.5
Styriofelis_turnauensis extinct 14.2 19.5
Styriofelis_turnauensis extinct 14.2 19.5
Pseudaelurus_quadridentatus extinct 14.2 16.4
Styriofelis_turnauensis extinct 14.2 19.5
Pseudaelurus_quadridentatus extinct 11.2 12.85
Styriofelis_lorteti extinct 11.2 12.85
Styriofelis_lorteti extinct 11.146 11.657
Machairodus_aphanistus extinct 9.9 11.2
Styriofelis_lorteti extinct 12.3 12.85
Styriofelis_lorteti extinct 8.9 11.2
Panthera_gombaszoegensis extinct 0.5 1.9
Panthera_gombaszoegensis extinct 1.9 3.55
Felis_silvestris extant 0.0117 1.9
Panthera_gombaszoegensis extinct 0.781 1.072
Puma_pardoides extinct 0.781 1.072
Felis_chaus extant 0.0117 1.9
Homotherium_latidens extinct 1.778 1.85
Lynx_issiodorensis extinct 1.778 1.85
Megantereon_nihowanensis extinct 1.9 2.5
Panthera_palaeosinensis extinct 1.9 2.5
Dinofelis_cristata extinct 0.52066666666667 2.581
Homotherium_latidens extinct 1.1531666666667 1.80951
Megantereon_nihowanensis extinct 1.7239 2.58
Lynx_issiodorensis extinct 0.0117 1.9
Acinonyx_pardinensis extinct 1.6666666666667 1.9
Lynx_issiodorensis extinct 1.6666666666667 1.9
Megantereon_cultridens extinct 1.6666666666667 1.9
Lynx_issiodorensis extinct 2.5 3.55
Acinonyx_pardinensis extinct 2.5 3.55
Homotherium_latidens extinct 2.5 3.55
Lynx_issiodorensis extinct 2.5 3.55
Homotherium_latidens extinct 2.45 3
Megantereon_cultridens extinct 2.58 3.6
Felis_lunensis extinct 1.981 2.138
Homotherium_latidens extinct 1.981 2.138
Lynx_issiodorensis extinct 1.981 2.138
Megantereon_cultridens extinct 1.981 2.138
Panthera_gombaszoegensis extinct 1.981 2.138
Homotherium_latidens extinct 1.778 1.945
Lynx_issiodorensis extinct 1.778 1.945
Felis_silvestris extant 1.9 2.5
Megantereon_cultridens extinct 1.5 1.8
Felis_lunensis extinct 2.5 3.55
Homotherium_latidens extinct 2.5 3.55
Lynx_issiodorensis extinct 2.5 3.55
Homotherium_latidens extinct 1.9 2.5
Megantereon_cultridens extinct 1.9 2.5
Lynx_issiodorensis extinct 5 5.3
Acinonyx_pardinensis extinct 1.4333333333333 1.9
Lynx_issiodorensis extinct 1.4333333333333 1.9
Megantereon_whitei extinct 1.4333333333333 1.9
