Species Status MinT MaxT
Vulpes_vulpes extant 0.126 0.781
Canis_etruscus extinct 0.126 0.781
Canis_etruscus extinct 0.126 0.781
Canis_etruscus extinct 0.126 0.781
Canis_etruscus extinct 0.126 0.781
Canis_etruscus extinct 0.126 0.781
Vulpes_praeglacialis extinct 0.126 0.781
Vulpes_vulpes extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_etruscus extinct 0.126 0.781
Canis_etruscus extinct 0.0117 5.333
Canis_arnensis extinct 0.0117 5.333
Nyctereutes_megamastoides extinct 2.588 3.2
Canis_etruscus extinct 1.806 2.588
Canis_arnensis extinct 0.126 2.588
Nyctereutes_megamastoides extinct 1.806 2.588
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Vulpes_angustidens extinct 0.126 0.781
Canis_lupus extant 0.126 0.781
Vulpes_vulpes extant 0.126 0.781
Cuon_alpinus extant 0.126 0.781
Canis_etruscus extinct 0.781 2.588
Canis_etruscus extinct 0.126 2.588
Canis_lupus extant 0.781 2.588
Vulpes_vulpes extant 0.781 2.588
Vulpes_praecorsac extinct 3.2 4.2
Vulpes_praecorsac extinct 2.588 4.2
Canis_lupus extant 0.126 0.781
Cynotherium_sardous extinct 0.0117 0.126
Canis_lupus extant 0 0.0117
Canis_etruscus extinct 0.0117 5.333
Canis_lupus extant 0 0.0117
Cynotherium_sardous extinct 0.126 0.781
Xenocyon_lycaonoides extinct 0.781 2.588
Canis_etruscus extinct 0.781 2.588
Nyctereutes_procyonoides extant 0.0117 0.126
Canis_lupus extant 0.126 0.781
Canis_etruscus extinct 0.781 2.588
Vulpes_lagopus extant 1.806 2.588
Canis_etruscus extinct 1.806 2.588
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Canis_etruscus extinct 0.0117 0.126
Cynotherium_sardous extinct 0.0117 3.6
Canis_lupus extant 0.0117 2.588
Cynotherium_sardous extinct 0.0117 0.781
Canis_etruscus extinct 2.588 5.333
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Nyctereutes_procyonoides extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Canis_lupus extant 0 0.126
Canis_lupus extant 0 0.0117
Vulpes_lagopus extant 0.0117 0.126
Vulpes_vulpes extant 0 0.0117
Vulpes_vulpes extant 0 0.0117
Canis_lupus extant 0 0.0117
Vulpes_lagopus extant 0 0.0117
Canis_lupus extant 0 0.0117
Canis_lupus extant 0 0.0117
Vulpes_lagopus extant 0 0.0117
Canis_lupus extant 0 0.0117
Vulpes_lagopus extant 0 0.0117
Canis_lupus extant 0 0.0117
Vulpes_vulpes extant 0 0.126
Canis_lupus extant 0.0117 2.588
Vulpes_vulpes extant 0.0117 2.588
Nyctereutes_megamastoides extinct 0.781 2.588
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Eucyon_monticinensis extinct 3.6 5.333
Vulpes_vulpes extant 0 0.126
Canis_lupus extant 0 0.126
Canis_etruscus extinct 0.781 2.588
Canis_lupus extant 0.781 2.588
Vulpes_lagopus extant 0.126 0.781
Nyctereutes_megamastoides extinct 0.126 0.781
Canis_lupus extant 0 0.0117
Vulpes_vulpes extant 0 0.0117
Cuon_alpinus extant 0.0117 0.126
Cuon_alpinus extant 0.0117 0.126
Cuon_alpinus extant 0.0117 0.126
Cuon_alpinus extant 0.0117 0.126
Vulpes_lagopus extant 0.0117 0.781
Cuon_alpinus extant 0.0117 0.781
Cuon_alpinus extant 0.126 0.781
Canis_lupus extant 0.0117 0.781
Vulpes_vulgaris extant 0.0117 0.781
Canis_lupus extant 0.0117 0.126
Canis_etruscus extinct 0.781 2.588
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0.781 2.588
Canis_lupus extant 0.781 2.588
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0 0.781
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Canis_lupus extant 0.781 2.588
Canis_etruscus extinct 2.588 3.6
Canis_etruscus extinct 0.781 2.588
Xenocyon_lycaonoides extinct 0.0117 2.588
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0.0117 2.588
Vulpes_vulpes extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Eucyon_monticinensis extinct 5.333 7.246
Vulpes_vulpes extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Nyctereutes_donnezani extinct 3.2 5.333
Cynotherium_sardous extinct 0.0117 0.126
Cynotherium_sardous extinct 0.0117 2.588
Cynotherium_sardous extinct 0.0117 0.781
Canis_lupus extant 0.0117 0.126
Canis_lupus extant 0.0117 0.126
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 0.126
Vulpes_vulpes extant 0.0117 2.588
Vulpes_vulpes extant 0.0117 0.126
Nyctereutes_donnezani extinct 6.179 6.252
Canis_etruscus extinct 1.9 3.55
Canis_aureus extant 0.0117 1.9
Canis_lupus extant 0.0117 1.9
Canis_borjgali extinct 1.778 1.85
Vulpes_lagopus extant 1.778 1.85
Canis_etruscus extinct 2.175 3
Canis_etruscus extinct 1.29585 2.58
Nyctereutes_sinensis extinct 1.29585 2.58
Canis_etruscus extinct 2.5 3.55
Vulpes_lagopus extant 1.981 2.138
Canis_etruscus extinct 1.9 2.5
Vulpes_vulpes extant 0.0117 0.653775
Vulpes_vulpes extant 0.58243333333333 1.29585
Canis_lupus extant 0.58243333333333 1.29585
Cuon_alpinus extant 0.58243333333333 1.29585
Canis_lupus extant 0.16 0.2
Vulpes_vulpes extant 0.0117 0.653775
Canis_lupus extant 0.0117 0.653775
Vulpes_vulpes extant 0.0117 0.653775
Canis_lupus extant 0.424 0.774
Canis_lupus extant 0.0117 1.9
Vulpes_lagopus extant 0.0117 1.9
Vulpes_vulpes extant 0.374 0.424
Cuon_priscus extinct 0.29706666666667 0.3786
Canis_lupus extant 0.243 0.3
Vulpes_vulpes extant 0.243 0.3
Canis_lupus extant 0.242 0.245
Canis_lupus extant 0.0117 1.9
Vulpes_vulpes extant 0.0117 1.9
Vulpes_corsac extant 0.0117 1.9
Canis_lupus extant 0.029 0.035
Canis_lupus extant 0.04 0.07
Vulpes_vulpes extant 0.04 0.07
Canis_lupus extant 0.017 0.053
Canis_lupus extant 0.01 0.115
Vulpes_lagopus extant 0.01 0.115
Canis_lupus extant 0.13 0.374
Canis_lupus extant 0.087 0.087
Canis_lupus extant 0.3 0.337
Vulpes_vulpes extant 0.3 0.337
Canis_lupus extant 0.103414 0.112837
Vulpes_vulpes extant 0.103414 0.112837
Canis_lupus extant 0.243 0.3
Canis_lupus extant 0.01 0.14
Canis_lupus extant 0.761 0.79
Vulpes_angustidens extinct 0.761 0.79
Canis_lupus extant 0.676 0.781
Canis_lupus extant 1.2 1.981
Canis_lupus extant 0.36 0.36
Canis_lupus extant 0.323 0.581
Vulpes_vulpes extant 0.323 0.581
Canis_lupus extant 1.02 1.88
Xenocyon_lycaonoides extinct 1.02 1.88
Canis_lupus extant 0.8678 1.7239
Canis_lupus extant 0.98 1.31
Canis_lupus extant 0.621 0.761
Xenocyon_lycaonoides extinct 0.621 0.761
Canis_lupus extant 0.35 0.69
Vulpes_vulpes extant 0.35 0.69
Canis_lupus extant 0.35 0.69
Cuon_priscus extinct 0.35 0.69
Vulpes_vulpes extant 0.35 0.69
Canis_lupus extant 0.676 0.781
Canis_lupus extant 0.424 0.781
Cuon_priscus extinct 0.424 0.781
Vulpes_lagopus extant 2.5 3.55
Canis_etruscus extinct 1.7239 2.10625
Canis_etruscus extinct 0.0117 1.80951
Canis_etruscus extinct 0.58243333333333 1.29585
Canis_etruscus extinct 0.0117 0.653775
Nyctereutes_sinensis extinct 0.0117 0.653775
Vulpes_vulpes extant 0.0117 0.653775
Canis_etruscus extinct 1.1531666666667 1.80951
Canis_etruscus extinct 1.1531666666667 1.80951
Nyctereutes_sinensis extinct 1.1531666666667 1.80951
Canis_etruscus extinct 0 0.781
Vulpes_vulpes extant 0 0.781
Cuon_alpinus extant 0.0117 1.9
Cuon_alpinus extant 0.0117 1.9
Cuon_alpinus extant 0.0117 1.9
Cuon_alpinus extant 0.0117 1.9
Cuon_alpinus extant 0.0117 1.9
Nyctereutes_sinensis extinct 0.58243333333333 1.29585
Cuon_alpinus extant 0 0.0117
Cuon_alpinus extant 0.0117 1.9
Cuon_alpinus extant 0.08 0.12
Cuon_alpinus extant 0.58243333333333 1.29585
Cuon_alpinus extant 0.076 0.279
