Species Status MinT MaxT
Crocuta_crocuta extant 0.781 2.588
Pliocrocuta_perrieri extinct 0.781 2.588
Pliocrocuta_perrieri extinct 0.126 0.781
Chasmaporthetes_lunensis extinct 0.126 0.781
Protictitherium_thessalonikensis extinct 8.7 11.608
Crocuta_crocuta extant 0.0117 0.126
Crocuta_crocuta extant 0.0117 0.126
Plioviverrops_orbignyi extinct 5.333 8.7
Crocuta_crocuta extant 0.0117 0.126
Protictitherium_gaillardi extinct 13.82 15.97
Pachycrocuta_brevirostris extinct 0.781 2.588
Pachycrocuta_brevirostris extinct 0.781 2.588
Plioviverrops_orbignyi extinct 8.7 11.608
Protictitherium_crassum extinct 5.333 8.7
Crocuta_crocuta extant 0.0117 0.126
Pachycrocuta_brevirostris extinct 0.781 2.588
Thalassictis_montadai extinct 7.246 11.62
Ictitherium_viverrinum extinct 7.246 7.75
Crocuta_crocuta extant 0.0117 0.126
Protictitherium_crassum extinct 11.1 12.75
Plioviverrops_orbignyi extinct 5.333 8.7
Crocuta_crocuta extant 2.588 3.6
Hyaenictitherium_wongii extinct 7.1 8.9
Ictitherium_viverrinum extinct 7.1 8.9
Hyaenictis_graeca extinct 7.212 7.454
Hyaenictis_almerai extinct 8.9 9.9
Miohyaenotherium_bessarabicum extinct 7.1 7.6
Lycyaena_choeretis extinct 7.1 7.6
Plioviverrops_guerini extinct 7.1 7.6
Adcrocuta_eximia extinct 5.3 7.1
Adcrocuta_eximia extinct 7.6 8.9
Adcrocuta_eximia extinct 7.1 7.6
Plioviverrops_orbignyi extinct 7.1 7.6
Adcrocuta_eximia extinct 7.1 7.6
Miohyaenotherium_bessarabicum extinct 7.1 7.6
Miohyaenotherium_bessarabicum extinct 7.1 7.6
Ictitherium_pannonicum extinct 7.6 9.9
Adcrocuta_eximia extinct 8.9 9.9
Adcrocuta_eximia extinct 7.1 7.6
Adcrocuta_eximia extinct 7.1 8.9
Adcrocuta_eximia extinct 5.3 7.6
Adcrocuta_eximia extinct 7.6 8.9
Allohyaena_kadici extinct 7.6 8.9
Thalassictis_robusta extinct 7.6 8.9
Adcrocuta_eximia extinct 7.1 7.6
Hyaenictitherium_wongii extinct 8.9 9.9
Ictitherium_viverrinum extinct 8.9 9.9
Adcrocuta_eximia extinct 5.3 7.6
Ictitherium_viverrinum extinct 5.3 7.6
Adcrocuta_eximia extinct 7.1 7.6
Miohyaenotherium_bessarabicum extinct 8.771 9.105
Adcrocuta_eximia extinct 7.6 8.9
Chasmaporthetes_bonisi extinct 7.6 8.9
Hyaenictitherium_wongii extinct 7.6 8.9
Ictitherium_viverrinum extinct 7.6 8.9
Ictitherium_pannonicum extinct 7.1 9.9
Ictitherium_viverrinum extinct 7.1 9.9
Hyaenictitherium_parvum extinct 7.1 7.6
Hyaenictitherium_parvum extinct 7.1 7.6
Adcrocuta_eximia extinct 7.6 8.9
Allohyaena_kadici extinct 7.6 8.9
Protictitherium_csakvarense extinct 7.6 8.9
Adcrocuta_eximia extinct 5.3 7.6
Plioviverrops_orbignyi extinct 7.1 7.6
Adcrocuta_eximia extinct 7.1 7.6
Hyaenictitherium_wongii extinct 7.1 7.6
Ictitherium_viverrinum extinct 7.1 7.6
Hyaenictitherium_parvum extinct 7.1 8.9
Ictitherium_viverrinum extinct 7.1 8.9
Adcrocuta_eximia extinct 7.1 7.6
Hyaenictitherium_wongii extinct 7.1 7.6
Hyaenictitherium_parvum extinct 5.3 7.1
Adcrocuta_eximia extinct 7.454 7.642
Hyaenictitherium_wongii extinct 7.454 7.642
Ictitherium_viverrinum extinct 7.454 7.642
Adcrocuta_eximia extinct 7.14 7.528
Belbus_beaumonti extinct 7.14 7.528
Hyaenictitherium_wongii extinct 7.14 7.528
Lycyaena_choeretis extinct 7.14 7.528
Plioviverrops_orbignyi extinct 7.14 7.528
Adcrocuta_eximia extinct 5.3 7.1
Miohyaenotherium_bessarabicum extinct 5.3 7.1
Hyaenictitherium_wongii extinct 5.3 7.1
Adcrocuta_eximia extinct 7.6 8.9
Adcrocuta_eximia extinct 7.1 7.6
Adcrocuta_eximia extinct 5.3 7.1
Adcrocuta_eximia extinct 7.1 7.6
Hyaenictitherium_wongii extinct 7.1 7.6
Plioviverrops_guerini extinct 7.1 7.6
Adcrocuta_eximia extinct 5.3 7.2
Adcrocuta_eximia extinct 5.3 7.2
Adcrocuta_eximia extinct 8.45 9.475
Adcrocuta_eximia extinct 8.9 9.9
Adcrocuta_eximia extinct 7.1 7.6
Adcrocuta_eximia extinct 5.3 7.1
Miohyaenotherium_bessarabicum extinct 5.3 7.1
Thalassictis_robusta extinct 5.3 7.6
Adcrocuta_eximia extinct 7.1 7.6
Miohyaenotherium_bessarabicum extinct 7.1 7.6
Thalassictis_robusta extinct 7.1 7.6
Adcrocuta_eximia extinct 7.1 7.6
Thalassictis_robusta extinct 7.1 7.6
Thalassictis_spelaea extinct 7.1 7.6
Adcrocuta_eximia extinct 9.9 11.2
Adcrocuta_eximia extinct 7.1 7.6
Plioviverrops_orbignyi extinct 7.1 7.6
Adcrocuta_eximia extinct 5.3 7.1
Adcrocuta_eximia extinct 7.1 8.9
Hyaenictitherium_wongii extinct 5.3 7.1
Adcrocuta_eximia extinct 5.3 7.1
Adcrocuta_eximia extinct 7.1 9.88
Adcrocuta_eximia extinct 7.1 7.6
Hyaenictitherium_wongii extinct 7.1 7.6
Adcrocuta_eximia extinct 7.1 7.6
Hyaenictitherium_wongii extinct 7.1 7.6
Ictitherium_viverrinum extinct 7.1 7.6
Adcrocuta_eximia extinct 5.3 8.9
Hyaenictitherium_wongii extinct 5.3 8.9
Plioviverrops_orbignyi extinct 5.3 8.9
Adcrocuta_eximia extinct 2.6 5.3
Hyaenictitherium_wongii extinct 2.6 5.3
Adcrocuta_eximia extinct 8.9 9.9
Hyaenictitherium_wongii extinct 8.9 9.9
Adcrocuta_eximia extinct 9.311 9.426
Protictitherium_intermedium extinct 9.311 9.426
Ictitherium_viverrinum extinct 5.3 7.1
Adcrocuta_eximia extinct 5.3 7.1
Hyaenictitherium_hyaenoides extinct 5.3 7.1
Hyaenictitherium_wongii extinct 5.3 7.1
Hyaenictitherium_hyaenoides extinct 5.3 7.1
Hyaenictitherium_wongii extinct 5.3 7.1
Adcrocuta_eximia extinct 6.5845 6.733
Hyaenictitherium_wongii extinct 6.5845 6.733
Ictitherium_viverrinum extinct 6.5845 6.733
Adcrocuta_eximia extinct 6.436 6.5845
