"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.770431137869983	0.195996938715767	"EU"	"extinct"
"amph_na"	0.309777387640943	0.290439936823936	"NAm"	"extinct"
"cani_eu"	0.717670293675623	0.234022455192475	"EU"	"extant"
"cani_na"	0.403537781541845	0.170650367080663	"NAm"	"extant"
"feli_eu"	0.294489292740289	0.18316030864644	"EU"	"extant"
"feli_na"	0.283084186509107	0.188616551951914	"NAm"	"extant"
"herp_eu"	0.168845712224845	0.144261236977749	"EU"	"extant"
"hyae_eu"	0.322773274883312	0.187497550347532	"EU"	"extant"
"meph_na"	0.37150107813904	0.283392153890876	"NAm"	"extant"
"must_eu"	0.853677885264955	0.14680421279073	"EU"	"extant"
"must_na"	0.353433621788422	0.312965240091118	"NAm"	"extant"
"nimr_eu"	0.0923616926540844	0.0304792518712187	"EU"	"extinct"
"nimr_na"	0.271968983688562	0.198060371980025	"NAm"	"extinct"
"perc_eu"	0.544002230307939	0.303654457003159	"EU"	"extinct"
"proc_na"	0.293026736992208	0.249044516693723	"NAm"	"extant"
"ursi_eu"	0.279705068705768	0.248606675194577	"EU"	"extant"
"ursi_na"	0.299558709511994	0.253770380838033	"NAm"	"extant"
"vive_eu"	0.570375871298743	0.461266037780679	"EU"	"extant"
