"Rise"	"Decline"
"amph_eu"	0.481878724515369	-0.373437002024647
"amph_na"	0.0355235571807698	-0.0566269046540116
"cani_eu"	0.466185530895647	-0.0589934088419512
"cani_na"	0.263564539947179	-0.118187047781421
"feli_eu"	0.093840196970599	-0.0857458374030947
"feli_na"	0.0685480441156122	-0.129013006862163
"herp_eu"	0.0791281190452077	-0.265856349906578
"hyae_eu"	0.268401644228691	-0.130336104615014
"meph_na"	0.0889103202076754	NA
"must_eu"	0.445963909560773	-0.0698659282139067
"must_na"	0.0810827257520961	NA
"nimr_eu"	0.178904175331564	-0.127023261903024
"nimr_na"	0.157040437878549	-0.0872769811111953
"perc_eu"	0.185763642430369	-0.129846962939772
"proc_na"	0.128514170619458	-0.00422998388439353
"ursi_eu"	0.0474451236743806	NA
"ursi_na"	0.0726253798105506	NA
"vive_eu"	0.0968355150067548	NA
