"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.274781278816837	0.274613256144748	"EU"	"extinct"
"amph_na"	0.296411413607103	0.294038917446714	"NAm"	"extinct"
"cani_eu"	0.444879818682923	0.287562614322251	"EU"	"extant"
"cani_na"	0.212941079213236	0.19124034134763	"NAm"	"extant"
"feli_eu"	0.294289825452212	0.184776856357741	"EU"	"extant"
"feli_na"	0.28313435280221	0.194051488477959	"NAm"	"extant"
"herp_eu"	0.159184816584668	0.179350380465498	"EU"	"extant"
"hyae_eu"	0.289232196206569	0.253852384718281	"EU"	"extant"
"meph_na"	0.367389972163237	0.287371474745013	"NAm"	"extant"
"must_eu"	0.35912989915485	0.345279592438711	"EU"	"extant"
"must_na"	0.353331892887911	0.314191718799165	"NAm"	"extant"
"nimr_eu"	0.0309967357666425	0.0419428075396019	"EU"	"extinct"
"nimr_na"	0.198311523760276	0.217038424113299	"NAm"	"extinct"
"perc_eu"	0.345404472462149	0.30601557412759	"EU"	"extinct"
"proc_na"	0.262810720594243	0.253133138313807	"NAm"	"extant"
"ursi_eu"	0.275839978935927	0.249357953161069	"EU"	"extant"
"ursi_na"	0.298722161218843	0.253810067573533	"NAm"	"extant"
"vive_eu"	0.561710140686947	0.459744576182395	"EU"	"extant"
