"Rise"	"Decline"
"amph_eu"	0.481878724515369	NA
"amph_na"	0.0566269046540116	NA
"cani_eu"	0.466185530895647	NA
"cani_na"	0.263564539947179	NA
"feli_eu"	0.093840196970599	NA
"feli_na"	0.129013006862163	NA
"herp_eu"	0.265856349906578	NA
"hyae_eu"	0.268401644228691	NA
"meph_na"	0.0889103202076754	NA
"must_eu"	0.445963909560773	NA
"must_na"	0.0810827257520961	NA
"nimr_eu"	0.178904175331564	NA
"nimr_na"	0.157040437878549	NA
"perc_eu"	0.185763642430369	NA
"proc_na"	0.128514170619458	NA
"ursi_eu"	0.0474451236743806	NA
"ursi_na"	0.0726253798105506	NA
"vive_eu"	0.0968355150067548	NA
