"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.982055227498704	0.196276877478672	"EU"	"extinct"
"amph_na"	0.313117681731352	0.289929557378045	"NAm"	"extinct"
"cani_eu"	0.932598509013439	0.230947539215652	"EU"	"extant"
"cani_na"	0.577988544972458	0.170418416967379	"NAm"	"extant"
"feli_eu"	0.29381618304018	0.164370827971706	"EU"	"extant"
"feli_na"	0.282605509062302	0.184148217134015	"NAm"	"extant"
"herp_eu"	0.316014072202525	0.36578230240935	"EU"	"extant"
"hyae_eu"	0.41342701751143	0.185807528362345	"EU"	"extant"
"meph_na"	0.386865526201032	0.268011899995985	"NAm"	"extant"
"must_eu"	0.975104404065659	0.147122917619158	"EU"	"extant"
"must_na"	0.355317693688733	0.281306255377967	"NAm"	"extant"
"nimr_eu"	0.163241322285943	0.0305018813436857	"EU"	"extinct"
"nimr_na"	0.308392666440782	0.195340010355378	"NAm"	"extinct"
"perc_eu"	0.570113806937667	0.303904897332542	"EU"	"extinct"
"proc_na"	0.315932862657392	0.243018795142167	"NAm"	"extant"
"ursi_eu"	0.292841139434448	0.246441703424004	"EU"	"extant"
"ursi_na"	0.320165867033036	0.253203385626443	"NAm"	"extant"
"vive_eu"	0.585239059813332	0.460194520758499	"EU"	"extant"
