"Rise"	"Decline"
"amph_eu"	0.867381704127665	-0.672186603644365
"amph_na"	0.0639424029253856	-0.101928428377221
"cani_eu"	0.839133955612164	-0.106188135915512
"cani_na"	0.474416171904922	-0.212736686006557
"feli_eu"	0.168912354547078	-0.154342507325571
"feli_na"	0.123386479408102	-0.232223412351894
"herp_eu"	0.142430614281374	-0.47854142983184
"hyae_eu"	0.483122959611643	-0.234604988307025
"meph_na"	0.160038576373816	NA
"must_eu"	0.802735037209391	-0.125758670785032
"must_na"	0.145948906353773	NA
"nimr_eu"	0.322027515596815	-0.228641871425443
"nimr_na"	0.282672788181389	-0.157098566000152
"perc_eu"	0.334374556374664	-0.233724533291589
"proc_na"	0.231325507115025	-0.00761397099190836
"ursi_eu"	0.085401222613885	NA
"ursi_na"	0.130725683658991	NA
"vive_eu"	0.174303927012159	NA
