"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.220099211822057	0.198226812113641	"EU"	"extinct"
"amph_na"	0.291107284658205	0.2915601038088	"NAm"	"extinct"
"cani_eu"	0.331481712967203	0.31167935117818	"EU"	"extant"
"cani_na"	0.20199570115342	0.187594769867443	"NAm"	"extant"
"feli_eu"	0.295139327564466	0.248107805492697	"EU"	"extant"
"feli_na"	0.28568967030834	0.244481508422591	"NAm"	"extant"
"herp_eu"	0.162456705314468	0.187693963031032	"EU"	"extant"
"hyae_eu"	0.256428753506718	0.208204825124793	"EU"	"extant"
"must_eu"	0.333459702553983	0.316968405333699	"EU"	"extant"
"nimr_eu"	0.0242742393106938	0.0314378881753263	"EU"	"extinct"
"nimr_na"	0.199666188249971	0.213838169646675	"NAm"	"extinct"
"perc_eu"	0.264687077677667	0.301633848304	"EU"	"extinct"
"proc_na"	0.256726190825061	0.251745627631172	"NAm"	"extant"
