"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.221840839041485	0.815241169523924	"EU"	"extinct"
"amph_na"	0.272697771381063	0.30809661940098	"NAm"	"extinct"
"cani_eu"	0.307112847793216	0.389895439109732	"EU"	"extant"
"cani_na"	0.207420189821759	0.407416090419494	"NAm"	"extant"
"feli_eu"	0.2949001396513	0.362666531554679	"EU"	"extant"
"feli_na"	0.285963905181516	0.491871027204666	"NAm"	"extant"
"herp_eu"	0.152369229874943	0.294436630324217	"EU"	"extant"
"hyae_eu"	0.245968338674812	0.461136812337925	"EU"	"extant"
"must_eu"	0.291133169262746	0.425277087411947	"EU"	"extant"
"nimr_eu"	0.0231269090604045	0.120202795260241	"EU"	"extinct"
"nimr_na"	0.155151491670324	0.238912101234464	"NAm"	"extinct"
"perc_eu"	0.127066741964818	0.314942712636636	"EU"	"extinct"
"proc_na"	0.257955313613674	0.258012205701923	"NAm"	"extant"
