"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.225951044920858	0.2179321987098	"EU"	"extinct"
"amph_na"	0.299513882604133	0.292072628788941	"NAm"	"extinct"
"cani_eu"	0.332884873851483	0.324957412275664	"EU"	"extant"
"cani_na"	0.206316291615722	0.206162583435767	"NAm"	"extant"
"feli_eu"	0.29547157200915	0.212134426528182	"EU"	"extant"
"feli_na"	0.283153196197776	0.192598369783709	"NAm"	"extant"
"herp_eu"	0.168994519633821	0.171689751625409	"EU"	"extant"
"hyae_eu"	0.267951943236709	0.318908104619239	"EU"	"extant"
"meph_na"	0.35574266987033	0.299166773270251	"NAm"	"extant"
"must_eu"	0.347997453308728	0.351387719530438	"EU"	"extant"
"must_na"	0.353001663840546	0.320223641464377	"NAm"	"extant"
"nimr_eu"	0.0255196359557813	0.0392247064876118	"EU"	"extinct"
"nimr_na"	0.185802430375209	0.219701663484785	"NAm"	"extinct"
"perc_eu"	0.188120739503353	0.306088893697853	"EU"	"extinct"
"proc_na"	0.258818741905169	0.25418724015668	"NAm"	"extant"
"ursi_eu"	0.272343095000683	0.249820011022041	"EU"	"extant"
"ursi_na"	0.296334460376048	0.25385909437454	"NAm"	"extant"
"vive_eu"	0.548551442593778	0.462839404547423	"EU"	"extant"
