"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.221211664073451	0.663941583217847	"EU"	"extinct"
"amph_na"	0.277414176218679	0.301324647498805	"NAm"	"extinct"
"cani_eu"	0.314009673651151	0.376034129865182	"EU"	"extant"
"cani_na"	0.205983455671125	0.300147684445205	"NAm"	"extant"
"feli_eu"	0.294909626673059	0.355390317653885	"EU"	"extant"
"feli_na"	0.285905649785063	0.42987348573249	"NAm"	"extant"
"herp_eu"	0.161505623400534	0.297827857012638	"EU"	"extant"
"hyae_eu"	0.246252881651445	0.449289600879776	"EU"	"extant"
"must_eu"	0.380170552632296	0.423896551297562	"EU"	"extant"
"nimr_eu"	0.023109809444331	0.0749102999622517	"EU"	"extinct"
"nimr_na"	0.171504805443616	0.225629073223634	"NAm"	"extinct"
"perc_eu"	0.142506973142469	0.311214475444859	"EU"	"extinct"
"proc_na"	0.257381207794323	0.256866719831566	"NAm"	"extant"
