"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.221348833866355	0.693527638444496	"EU"	"extinct"
"amph_na"	0.277414176218679	0.301324647498805	"NAm"	"extinct"
"cani_eu"	0.306429346839317	0.394850484498091	"EU"	"extant"
"cani_na"	0.207282483779007	0.385985003138529	"NAm"	"extant"
"feli_eu"	0.294909626673059	0.355390317653885	"EU"	"extant"
"feli_na"	0.285905649785063	0.42987348573249	"NAm"	"extant"
"herp_eu"	0.161505623400534	0.297827857012638	"EU"	"extant"
"hyae_eu"	0.246132119324924	0.454733480420284	"EU"	"extant"
"must_eu"	0.282392726160083	0.427438792051504	"EU"	"extant"
"nimr_eu"	0.023109336302968	0.081062321819318	"EU"	"extinct"
"nimr_na"	0.164241295108175	0.22894412852962	"NAm"	"extinct"
"perc_eu"	0.139756715525952	0.311518391451274	"EU"	"extinct"
