"Rise"	"Decline"
"amph_eu"	0.0963757449030739	NA
"amph_na"	0.0113253809308023	NA
"cani_eu"	0.0932371061791294	NA
"cani_na"	0.0527129079894358	NA
"feli_eu"	0.0187680393941198	NA
"feli_na"	0.0258026013724326	NA
"herp_eu"	0.0531712699813155	NA
"hyae_eu"	0.0536803288457381	NA
"meph_na"	0.0177820640415351	NA
"must_eu"	0.0891927819121545	NA
"must_na"	0.0162165451504192	NA
"nimr_eu"	0.0357808350663127	NA
"nimr_na"	0.0314080875757098	NA
"perc_eu"	0.0371527284860738	NA
"proc_na"	0.0257028341238917	NA
"ursi_eu"	0.00948902473487612	NA
"ursi_na"	0.0145250759621101	NA
"vive_eu"	0.019367103001351	NA
