"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.226109036730875	0.205254001603261	"EU"	"extinct"
"amph_na"	0.296265581724059	0.292584771385361	"NAm"	"extinct"
"cani_eu"	0.343930027876455	0.297126829346777	"EU"	"extant"
"cani_na"	0.206228273154111	0.190115792181251	"NAm"	"extant"
"feli_eu"	0.29547157200915	0.212134426528182	"EU"	"extant"
"feli_na"	0.285273096275567	0.220120805958255	"NAm"	"extant"
"herp_eu"	0.155983939760485	0.154513419697626	"EU"	"extant"
"hyae_eu"	0.286757195331826	0.197242583558676	"EU"	"extant"
"meph_na"	0.35574266987033	0.299166773270251	"NAm"	"extant"
"must_eu"	0.353200721129929	0.344626600900757	"EU"	"extant"
"must_na"	0.353001663840546	0.320223641464377	"NAm"	"extant"
"nimr_eu"	0.025699341389741	0.0355498259490955	"EU"	"extinct"
"nimr_na"	0.192162351559847	0.216011232073827	"NAm"	"extinct"
"perc_eu"	0.241045024624194	0.30246008412775	"EU"	"extinct"
"proc_na"	0.259044877886275	0.253185463466259	"NAm"	"extant"
"ursi_eu"	0.272343095000683	0.249820011022041	"EU"	"extant"
"ursi_na"	0.296334460376048	0.25385909437454	"NAm"	"extant"
"vive_eu"	0.548551442593778	0.462839404547423	"EU"	"extant"
