"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.271531818869989	0.312506598109341	"EU"	"extinct"
"amph_na"	0.297443133824936	0.293792916484554	"NAm"	"extinct"
"cani_eu"	0.419900027065418	0.307092340827759	"EU"	"extant"
"cani_na"	0.212615227662244	0.205305882381214	"NAm"	"extant"
"feli_eu"	0.294293055265212	0.185690342626798	"EU"	"extant"
"feli_na"	0.28322235769744	0.193326724241852	"NAm"	"extant"
"herp_eu"	0.167368299905589	0.188017480987116	"EU"	"extant"
"hyae_eu"	0.278606310312032	0.307761822731285	"EU"	"extant"
"meph_na"	0.367389972163237	0.287371474745013	"NAm"	"extant"
"must_eu"	0.356242374300372	0.347754718609373	"EU"	"extant"
"must_na"	0.353331892887911	0.314191718799165	"NAm"	"extant"
"nimr_eu"	0.0307131476102976	0.0464642598181765	"EU"	"extinct"
"nimr_na"	0.197351109925033	0.217742021728392	"NAm"	"extinct"
"perc_eu"	0.338954659386645	0.306863911715109	"EU"	"extinct"
"proc_na"	0.262685116248977	0.253374265926954	"NAm"	"extant"
"ursi_eu"	0.275839978935927	0.249357953161069	"EU"	"extant"
"ursi_na"	0.298722161218843	0.253810067573533	"NAm"	"extant"
"vive_eu"	0.561710140686947	0.459744576182395	"EU"	"extant"
