"Rise"	"Decline"
"amph_eu"	0.0963757449030739	-0.0746874004049294
"amph_na"	0.00710471143615396	-0.0113253809308023
"cani_eu"	0.0932371061791294	-0.0117986817683902
"cani_na"	0.0527129079894358	-0.0236374095562842
"feli_eu"	0.0187680393941198	-0.0171491674806189
"feli_na"	0.0137096088231224	-0.0258026013724326
"herp_eu"	0.0158256238090415	-0.0531712699813155
"hyae_eu"	0.0536803288457381	-0.0260672209230027
"meph_na"	0.0177820640415351	NA
"must_eu"	0.0891927819121545	-0.0139731856427813
"must_na"	0.0162165451504192	NA
"nimr_eu"	0.0357808350663127	-0.0254046523806047
"nimr_na"	0.0314080875757098	-0.0174553962222391
"perc_eu"	0.0371527284860738	-0.0259693925879543
"proc_na"	0.0257028341238917	-0.000845996776878707
"ursi_eu"	0.00948902473487612	NA
"ursi_na"	0.0145250759621101	NA
"vive_eu"	0.019367103001351	NA
